review,line,heading,starts_lowercase,contains_lowercase_module
Module 1 Review Workshop,1083,Key lessons to keep,False,False
Module 1 Review Workshop,1093,Weak vs. strong review case,False,False
Module 1 Review Workshop,1121,module 1 self-edit routine,True,True
Module 1 Review Workshop,1135,module 1 transfer task,True,True
Module 1 Review Workshop,1160,module 1 strategy map,True,True
Module 1 Review Workshop,1174,Module 1 revision lab,False,False
Module 1 Review Workshop,1216,Module 1 preparation for Module 2,False,False
Module 1 Review Workshop,1231,Module 1 foundation control board,False,False
Module 1 Review Workshop,1247,Module 1 rebuilding note,False,False
Module 2 Review Workshop,2980,Key lessons to keep,False,False
Module 2 Review Workshop,2991,Email comparison review,False,False
Module 2 Review Workshop,3019,module 2 email control checklist,True,True
Module 2 Review Workshop,3034,module 2 transfer task,True,True
Module 2 Review Workshop,3066,module 2 strategy map,True,True
Module 2 Review Workshop,3086,Module 2 weak-email clinic,False,False
Module 2 Review Workshop,3132,Module 2 revision lab,False,False
Module 2 Review Workshop,3170,Module 2 audience-and-detail grid,False,False
Module 2 Review Workshop,3190,Module 2 follow-up planning note,False,False
Module 2 Review Workshop,3206,Module 2 audience contrast check,False,False
Module 2 Review Workshop,3225,Module 2 reply-path mini planner,False,False
Module 3 Review Workshop,4834,Key lessons to keep,False,False
Module 3 Review Workshop,4845,Reader-purpose comparison,False,False
Module 3 Review Workshop,4873,module 3 self-edit routine,True,True
Module 3 Review Workshop,4887,module 3 transfer task,True,True
Module 3 Review Workshop,4920,module 3 structure clinic,True,True
Module 3 Review Workshop,4935,module 3 weak-to-strong comparison,True,True
Module 3 Review Workshop,4967,module 3 revision lab,True,True
Module 3 Review Workshop,5006,module 3 internal-writing planning board,True,True
Module 3 Review Workshop,5029,module 3 sequencing rebuild lab,True,True
Module 3 Review Workshop,5056,module 3 internal-document rebuild workshop,True,True
Module 3 Review Workshop,5135,module 3 reader-use comparison set,True,True
Module 4 Review Workshop,6765,Key lessons to keep,False,False
Module 4 Review Workshop,6776,Audience-control comparison,False,False
Module 4 Review Workshop,6804,module 4 communication checklist,True,True
Module 4 Review Workshop,6818,module 4 transfer task,True,True
Module 4 Review Workshop,6846,module 4 audience-shift map,True,True
Module 4 Review Workshop,6865,module 4 reader-trust clinic,True,True
Module 4 Review Workshop,6895,module 4 revision lab,True,True
Module 4 Review Workshop,6933,module 4 reader-planning grid,True,True
Module 4 Review Workshop,6955,module 4 external communication rebuild lab,True,True
Module 4 Review Workshop,6994,module 4 outward-facing rebuild workshop,True,True
Module 4 Review Workshop,7052,module 4 audience-shift practice set,True,True
Module 5 Review Workshop,8233,Key lessons to keep,False,False
Module 5 Review Workshop,8243,Revision comparison,False,False
Module 5 Review Workshop,8271,module 5 editing routine,True,True
Module 5 Review Workshop,8284,module 5 transfer task,True,True
Module 5 Review Workshop,8315,module 5 editing-decision map,True,True
Module 5 Review Workshop,8332,module 5 revision clinic,True,True
Module 5 Review Workshop,8372,module 5 carry-forward task,True,True
Module 5 Review Workshop,8396,module 5 revision priorities board,True,True
Module 5 Review Workshop,8417,module 5 editing memo for later modules,True,True
Module 6 Review Workshop,10462,Key lessons to keep,False,False
Module 6 Review Workshop,10475,Multi-document comparison,False,False
Module 6 Review Workshop,10506,module 6 final self-edit routine,True,True
Module 6 Review Workshop,10520,module 6 rebuild lab,True,True
Module 6 Review Workshop,10547,module 6 transfer task,True,True
Module 6 Review Workshop,10581,module 6 planning grid,True,True
Module 6 Review Workshop,10601,module 6 integrated revision lab,True,True
Module 6 Review Workshop,10649,module 6 final course transfer task,True,True
Module 6 Review Workshop,10689,module 6 audience-control matrix,True,True
Module 6 Review Workshop,10713,module 6 capstone coaching memo,True,True
Module 6 Review Workshop,10738,module 6 multi-document rebuild workshop,True,True
Module 6 Review Workshop,10814,module 6 portfolio completion ladder,True,True
